feature,category,precision,recall,fbeta
workclass, Private,0.740139211136891,0.6373626373626373,0.6849168008588299
workclass, State-gov,0.7627118644067796,0.6164383561643836,0.6818181818181819
workclass, Self-emp-not-inc,0.7181818181818181,0.5031847133757962,0.5917602996254682
workclass, Self-emp-inc,0.7692307692307693,0.7627118644067796,0.7659574468085106
workclass, Federal-gov,0.7605633802816901,0.7714285714285715,0.7659574468085106
workclass, Local-gov,0.7669902912621359,0.7181818181818181,0.7417840375586854
workclass, ?,0.7407407407407407,0.47619047619047616,0.5797101449275363
workclass, Without-pay,1.0,1.0,1.0
education, Some-college,0.6966824644549763,0.5306859205776173,0.6024590163934426
education, HS-grad,0.6523605150214592,0.4405797101449275,0.5259515570934256
education, Bachelors,0.7581395348837209,0.7244444444444444,0.740909090909091
education, Masters,0.8240740740740741,0.8599033816425121,0.8416075650118202
education, Assoc-acdm,0.717948717948718,0.5957446808510638,0.6511627906976744
education, 7th-8th,1.0,0.0,0.0
education, 11th,1.0,0.2727272727272727,0.42857142857142855
education, Assoc-voc,0.660377358490566,0.5555555555555556,0.6034482758620691
education, Prof-school,0.8351648351648352,0.9047619047619048,0.8685714285714285
education, 9th,1.0,0.6666666666666666,0.8
education, 5th-6th,1.0,0.5,0.6666666666666666
education, 10th,0.42857142857142855,0.25,0.3157894736842105
education, Doctorate,0.85,0.8947368421052632,0.8717948717948718
education, 12th,1.0,0.4,0.5714285714285715
education, 1st-4th,1.0,1.0,1.0
education, Preschool,1.0,1.0,1.0
marital-status, Divorced,0.7142857142857143,0.33980582524271846,0.46052631578947373
marital-status, Married-civ-spouse,0.7394822006472492,0.6945288753799392,0.7163009404388716
marital-status, Never-married,0.84,0.4077669902912621,0.5490196078431373
marital-status, Separated,1.0,0.42105263157894735,0.5925925925925926
marital-status, Widowed,1.0,0.15789473684210525,0.2727272727272727
marital-status, Married-spouse-absent,1.0,0.25,0.4
marital-status, Married-AF-spouse,1.0,0.3333333333333333,0.5
occupation, Adm-clerical,0.6486486486486487,0.5,0.5647058823529412
occupation, Exec-managerial,0.7957559681697612,0.7556675062972292,0.7751937984496124
occupation, Machine-op-inspct,0.5294117647058824,0.3829787234042553,0.4444444444444445
occupation, Craft-repair,0.6716417910447762,0.4972375690607735,0.5714285714285715
occupation, Prof-specialty,0.7957559681697612,0.7653061224489796,0.7802340702210663
occupation, Sales,0.7298850574712644,0.6614583333333334,0.6939890710382514
occupation, Handlers-cleaners,0.5,0.3333333333333333,0.4
occupation, Other-service,0.875,0.2692307692307692,0.411764705882353
occupation, Protective-serv,0.8,0.5714285714285714,0.6666666666666666
occupation, Priv-house-serv,1.0,1.0,1.0
occupation, Transport-moving,0.6304347826086957,0.453125,0.5272727272727272
occupation, ?,0.7407407407407407,0.47619047619047616,0.5797101449275363
occupation, Farming-fishing,0.4166666666666667,0.17857142857142858,0.25
occupation, Tech-support,0.6808510638297872,0.6274509803921569,0.6530612244897959
occupation, Armed-Forces,1.0,1.0,1.0
relationship, Not-in-family,0.782608695652174,0.3829787234042553,0.5142857142857143
relationship, Wife,0.7246376811594203,0.6993006993006993,0.7117437722419928
relationship, Husband,0.7413479052823315,0.6957264957264957,0.7178130511463845
relationship, Unmarried,0.8666666666666667,0.28888888888888886,0.43333333333333335
relationship, Own-child,1.0,0.17647058823529413,0.3
relationship, Other-relative,1.0,0.375,0.5454545454545454
race, White,0.7416734362307067,0.6393557422969187,0.6867243324558103
race, Black,0.7916666666666666,0.5846153846153846,0.672566371681416
race, Other,0.8,0.6666666666666666,0.7272727272727272
race, Asian-Pac-Islander,0.7894736842105263,0.7258064516129032,0.7563025210084033
race, Amer-Indian-Eskimo,0.625,0.5,0.5555555555555556
sex, Female,0.7272727272727273,0.5150214592274678,0.6030150753768844
sex, Male,0.7474662162162162,0.6614349775784754,0.7018239492466297
native-country, United-States,0.7416462917685411,0.6341463414634146,0.6836964688204357
native-country, Mexico,1.0,0.3333333333333333,0.5
native-country, Puerto-Rico,0.8333333333333334,0.8333333333333334,0.8333333333333334
native-country, El-Salvador,1.0,1.0,1.0
native-country, ?,0.7777777777777778,0.6774193548387096,0.7241379310344828
native-country, Columbia,1.0,1.0,1.0
native-country, Poland,0.5,0.5,0.5
native-country, Cambodia,1.0,1.0,1.0
native-country, Germany,0.8181818181818182,0.6923076923076923,0.7500000000000001
native-country, Philippines,1.0,0.6875,0.8148148148148148
native-country, Canada,0.8888888888888888,1.0,0.9411764705882353
native-country, Ecuador,1.0,0.5,0.6666666666666666
native-country, Italy,0.75,0.75,0.75
native-country, Cuba,0.8,0.8,0.8000000000000002
native-country, Iran,0.5,0.4,0.4444444444444445
native-country, Jamaica,0.0,1.0,0.0
native-country, Haiti,1.0,1.0,1.0
native-country, South,0.5,0.5,0.5
native-country, Taiwan,0.75,0.75,0.75
native-country, Dominican-Republic,1.0,1.0,1.0
native-country, Ireland,1.0,1.0,1.0
native-country, Japan,0.75,0.75,0.75
native-country, Scotland,1.0,1.0,1.0
native-country, India,0.6666666666666666,0.75,0.7058823529411765
native-country, Trinadad&Tobago,1.0,1.0,1.0
native-country, Hungary,1.0,0.5,0.6666666666666666
native-country, England,0.5,0.5,0.5
native-country, Laos,1.0,0.0,0.0
native-country, Hong,0.5,1.0,0.6666666666666666
native-country, Greece,0.0,0.0,1.0
native-country, Portugal,1.0,1.0,1.0
native-country, Guatemala,1.0,1.0,1.0
native-country, China,1.0,1.0,1.0
native-country, France,1.0,1.0,1.0
native-country, Nicaragua,1.0,1.0,1.0
native-country, Vietnam,1.0,1.0,1.0
native-country, Thailand,1.0,1.0,1.0
native-country, Peru,0.0,0.0,1.0
native-country, Honduras,1.0,1.0,1.0
